2024-10-22 10:10:02.149 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X14sZmlsZQ%3D%3D
2024-10-22 10:11:20.722 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X20sZmlsZQ%3D%3D
2024-10-22 10:12:45.739 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X20sZmlsZQ%3D%3D
2024-10-22 10:12:47.907 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X20sZmlsZQ%3D%3D
2024-10-22 10:12:50.173 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X22sZmlsZQ%3D%3D
2024-10-22 10:13:12.148 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X23sZmlsZQ%3D%3D
2024-10-22 10:13:13.657 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X22sZmlsZQ%3D%3D
2024-10-22 10:13:21.452 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X23sZmlsZQ%3D%3D
2024-10-22 10:13:22.729 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:13:34.658 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:13:40.311 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X23sZmlsZQ%3D%3D
2024-10-22 10:13:48.020 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:14:02.513 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X12sZmlsZQ%3D%3D
2024-10-22 10:14:06.815 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X12sZmlsZQ%3D%3D
2024-10-22 10:14:10.690 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:14:25.277 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:14:29.538 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X24sZmlsZQ%3D%3D
2024-10-22 10:14:59.462 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X25sZmlsZQ%3D%3D
2024-10-22 10:15:10.935 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X30sZmlsZQ%3D%3D
2024-10-22 10:15:13.356 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X31sZmlsZQ%3D%3D
2024-10-22 10:15:18.770 [info] /home/yoshee/hse/machine_learning/sem_8_classwork.ipynb closed
2024-10-22 10:15:18.770 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X30sZmlsZQ%3D%3D
2024-10-22 10:15:30.571 [info] Active editor: vscode-notebook-cell:/home/yoshee/hse/machine_learning/sem_8_classwork.ipynb#X30sZmlsZQ%3D%3D
